"","SiteID","Usage","date"
"736",1123,61,2022-06-30
"737",1123,41,2022-07-31
"738",1123,83,2022-08-31
"739",1123,42,2022-09-30
"740",1124,3,2022-04-30
"741",1124,4,2022-05-31
"742",1124,33,2022-06-30
"743",1124,36,2022-07-31
"744",1124,44,2022-08-31
"745",1124,26,2022-09-30
"746",1125,3,2022-04-30
"747",1125,4,2022-05-31
"748",1125,10,2022-06-30
"749",1125,4,2022-07-31
"750",1125,5,2022-08-31
"751",1125,4,2022-09-30
"752",1126,16,2022-04-30
"753",1126,23,2022-05-31
"754",1126,112,2022-06-30
"755",1126,184,2022-07-31
"756",1126,141,2022-08-31
"757",1126,139,2022-09-30
"758",1127,6,2022-04-30
"759",1127,4,2022-05-31
"760",1127,9,2022-06-30
"761",1127,6,2022-07-31
"762",1127,6,2022-08-31
"763",1127,7,2022-09-30
"764",1128,1,2022-04-30
"765",1128,3,2022-05-31
"766",1128,3,2022-06-30
"767",1128,3,2022-07-31
"768",1128,4,2022-08-31
"769",1128,2,2022-09-30
"770",1129,4,2022-04-30
"771",1129,4,2022-05-31
"772",1129,20,2022-06-30
"773",1129,59,2022-07-31
"774",1129,56,2022-08-31
"775",1129,42,2022-09-30
"776",1130,11,2022-04-30
"777",1130,12,2022-05-31
"778",1130,0,2022-06-30
"779",1130,98,2022-07-31
"780",1130,65,2022-08-31
"781",1130,47,2022-09-30
"782",1131,4,2022-04-30
"783",1131,5,2022-05-31
"784",1131,7,2022-06-30
"785",1131,4,2022-07-31
"786",1131,7,2022-08-31
"787",1131,5,2022-09-30
"788",1132,4,2022-04-30
"789",1132,3,2022-05-31
"790",1132,12,2022-06-30
"791",1132,18,2022-07-31
"792",1132,13,2022-08-31
"793",1132,13,2022-09-30
"794",1133,10,2022-04-30
"795",1133,10,2022-05-31
"796",1133,11,2022-06-30
"797",1133,8,2022-07-31
"798",1133,10,2022-08-31
"799",1133,8,2022-09-30
"800",1134,7,2022-04-30
"801",1134,9,2022-05-31
"802",1134,54,2022-06-30
"803",1134,60,2022-07-31
"804",1134,81,2022-08-31
"805",1134,69,2022-09-30
"806",1135,2,2022-04-30
"807",1135,0,2022-05-31
"808",1135,60,2022-06-30
"809",1135,0,2022-07-31
"810",1135,87,2022-08-31
"811",1135,13,2022-09-30
"812",1136,6,2022-04-30
"813",1136,6,2022-05-31
"814",1136,19,2022-06-30
"815",1136,22,2022-07-31
"816",1136,16,2022-08-31
"817",1136,10,2022-09-30
"818",1137,0,2022-04-30
"819",1137,45,2022-05-31
"820",1137,0,2022-06-30
"821",1137,0,2022-07-31
"822",1137,19,2022-08-31
"823",1137,4,2022-09-30
"824",1138,5,2022-04-30
"825",1138,7,2022-05-31
"826",1138,19,2022-06-30
"827",1138,12,2022-07-31
"828",1138,14,2022-08-31
"829",1138,11,2022-09-30
"830",1139,2,2022-04-30
"831",1139,3,2022-05-31
"832",1139,8,2022-06-30
"833",1139,27,2022-07-31
"834",1139,33,2022-08-31
"835",1139,17,2022-09-30
"836",1140,4,2022-04-30
"837",1140,4,2022-05-31
"838",1140,9,2022-06-30
"839",1140,11,2022-07-31
"840",1140,10,2022-08-31
"841",1140,8,2022-09-30
"842",1141,8,2022-04-30
"843",1141,8,2022-05-31
"844",1141,32,2022-06-30
"845",1141,62,2022-07-31
"846",1141,57,2022-08-31
"847",1141,34,2022-09-30
"848",1142,3,2022-04-30
"849",1142,4,2022-05-31
"850",1142,4,2022-06-30
"851",1142,2,2022-07-31
"852",1142,4,2022-08-31
"853",1142,3,2022-09-30
"854",1143,4,2022-04-30
"855",1143,5,2022-05-31
"856",1143,7,2022-06-30
"857",1143,4,2022-07-31
"858",1143,6,2022-08-31
"859",1143,4,2022-09-30
"860",1144,13,2022-04-30
"861",1144,16,2022-05-31
"862",1144,105,2022-06-30
"863",1144,13,2022-07-31
"864",1144,12,2022-08-31
"865",1144,0,2022-09-30
"866",1144,0,2022-09-30
"867",1145,3,2022-04-30
"868",1145,4,2022-05-31
"869",1145,5,2022-06-30
"870",1145,3,2022-07-31
"871",1145,5,2022-08-31
"872",1145,9,2022-09-30
"873",1146,3,2022-04-30
"874",1146,12,2022-05-31
"875",1146,8,2022-06-30
"876",1146,10,2022-07-31
"877",1146,5,2022-08-31
"878",1146,4,2022-09-30
"879",1147,0,2022-06-30
"880",1147,0,2022-06-30
"881",1147,21,2022-07-31
"882",1147,5,2022-08-31
"883",1147,3,2022-09-30
"884",1148,6,2022-04-30
"885",1148,7,2022-05-31
"886",1148,72,2022-06-30
"887",1148,87,2022-07-31
"888",1148,99,2022-08-31
"889",1148,72,2022-09-30
"890",1149,2,2022-04-30
"891",1149,3,2022-05-31
"892",1149,6,2022-06-30
"893",1149,12,2022-07-31
"894",1149,16,2022-08-31
"895",1149,16,2022-09-30
"896",1150,3,2022-04-30
"897",1150,5,2022-05-31
"898",1150,27,2022-06-30
"899",1150,34,2022-07-31
"900",1150,25,2022-08-31
"901",1150,7,2022-09-30
"902",1151,3,2022-04-30
"903",1151,7,2022-05-31
"904",1151,9,2022-06-30
"905",1151,24,2022-07-31
"906",1151,18,2022-08-31
"907",1151,0,2022-09-30
"908",1152,0,2022-04-30
"909",1152,0,2022-05-31
"910",1152,0,2022-06-30
"911",1152,0,2022-07-31
"912",1152,0,2022-08-31
"913",1152,0,2022-09-30
"914",1153,5,2022-04-30
"915",1153,22,2022-05-31
"916",1153,40,2022-06-30
"917",1153,80,2022-07-31
"918",1153,84,2022-08-31
"919",1153,54,2022-09-30
"920",1154,3,2022-04-30
"921",1154,2,2022-05-31
"922",1154,5,2022-06-30
"923",1154,28,2022-07-31
"924",1154,27,2022-08-31
"925",1154,34,2022-09-30
"926",1155,2,2022-04-30
"927",1155,2,2022-05-31
"928",1155,26,2022-06-30
"929",1155,7,2022-07-31
